Point,West Height (m),Center Height (m),East Height(m),West Diff (m),Center Diff (m),East Diff(m),West Grade (m),East Grade(m)
390,203.833,204.001,203.598,-0.113,0.05,0.031,1.25,3.0
391,203.823,203.991,203.588,-0.108,0.05,0.026,1.25,3.0
392,203.814,203.982,203.579,-0.046,0.05,0.025,1.25,3.0
393,203.805,203.978,203.575,-0.038,0.068,0.031,1.29,3.0
394,203.796,203.972,203.572,-0.027,0.063,0.039,1.31,2.98
395,203.787,203.963,203.564,-0.008,0.066,0.039,1.31,2.97
396,203.777,203.949,203.551,-0.005,0.066,0.035,1.28,2.96
397,203.765,203.935,203.537,-0.013,0.066,0.031,1.26,2.96
398,203.753,203.921,203.522,-0.01,0.058,0.022,1.25,2.97
399,203.74,203.909,203.507,-0.004,0.042,0.013,1.26,2.99
400,203.727,203.895,203.492,-0.006,0.045,0.005,1.25,3.0
401,203.714,203.884,203.482,-0.005,0.05,0.001,1.26,2.99
402,203.698,203.872,203.476,0.001,0.049,-0.001,1.29,2.95
403,203.682,203.859,203.47,0.002,0.044,-0.001,1.31,2.9
404,203.666,203.846,203.464,0.001,0.032,0.0,1.34,2.84
405,203.645,203.834,203.461,0.0,0.027,0.006,1.4,2.78
406,203.621,203.822,203.463,0.0,0.034,-0.006,1.49,2.67
407,203.596,203.809,203.461,0.0,0.027,0.0,1.58,2.59
408,203.571,203.798,203.454,-0.003,0.015,0.002,1.69,2.56
409,203.541,203.787,203.444,-0.015,0.013,0.001,1.83,2.55
410,203.51,203.776,203.433,0.007,0.028,0.0,1.98,2.55
411,203.484,203.762,203.419,0.0,0.028,-0.001,2.07,2.55
412,203.463,203.748,203.406,-0.001,0.026,-0.004,2.12,2.55
413,203.447,203.737,203.394,-0.005,0.029,-0.002,2.16,2.55
414,203.436,203.726,203.384,-0.002,0.041,-0.004,2.16,2.55
415,203.429,203.714,203.374,-0.001,0.045,0.001,2.12,2.53
416,203.422,203.702,203.364,0.0,0.051,0.0,2.08,2.52
417,203.415,203.689,203.35,-0.002,0.051,0.001,2.04,2.52
418,203.408,203.676,203.335,0.0,0.057,0.0,1.99,2.54
419,203.399,203.663,203.32,0.002,0.066,0.003,1.96,2.55
420,203.388,203.65,203.308,-0.001,0.075,0.0,1.95,2.55
421,203.376,203.637,203.299,0.001,0.085,0.0,1.94,2.52
422,203.364,203.624,203.295,0.0,0.083,0.012,1.93,2.45
423,203.355,203.611,203.293,-0.001,0.084,-0.005,1.9,2.37
424,203.343,203.598,203.287,-0.002,0.072,0.001,1.9,2.31
425,203.331,203.585,203.276,-0.003,0.075,0.006,1.89,2.3
426,203.318,203.572,203.26,-0.007,0.105,0.007,1.89,2.32
427,203.301,203.559,203.239,0.007,0.112,0.001,1.92,2.38
428,203.288,203.546,203.217,-0.001,0.115,-0.002,1.92,2.45
429,203.28,203.533,203.2,-0.005,0.121,-0.004,1.88,2.48
430,203.277,203.52,203.184,-0.013,0.116,0.0,1.81,2.5
431,203.276,203.507,203.168,0.008,0.105,0.0,1.72,2.52
432,203.28,203.494,203.152,0.021,0.126,0.0,1.59,2.55
433,203.286,203.481,203.135,-0.001,0.128,0.0,1.45,2.58
434,203.287,203.468,203.123,0.001,0.142,0.0,1.34,2.57
435,203.283,203.455,203.106,0.001,0.149,0.002,1.28,2.6
436,203.274,203.442,203.091,0.011,0.143,0.0,1.25,2.61
437,203.261,203.429,203.076,0.005,0.14,-0.001,1.25,2.63
438,203.246,203.416,203.061,0.0,0.135,-0.003,1.26,2.64
